# ================================================================================
# Inverse MPM Material Learning - Experiment Results
# Target: E*=450, nu=0.35, Neo-Hookean block-drop, MPM 8192 particles, 64 steps
# Tasks: dual-parameter external noisy, dual-parameter clean, single-E clean
# Methods: NN+FD and derivative-free baseline
# ================================================================================

## SECTION 1: Per-Epoch / Per-Search-Step Data
task,method,row_type,epoch_or_iter,loss,E_pred,nu_pred,E_abs_error,nu_abs_error,dL_dE_est,dL_dnu_est,h_mse,s_mse,F_mse,step_time_s,cumulative_time_s,E_true,nu_true,N_particles,N_steps,learn_param,obs_mode,noise_h,notes
DualParam_External_Noisy,NN+FD,epoch,24,1.879383e-07,443.839172,0.326853,6.160828,0.023147,-4.953357e-09,-5.802786e-06,,,,0.778473,63.649096,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,25,1.558607e-07,445.892456,0.331689,4.107544,0.018311,-3.605379e-09,-4.984074e-06,,,,0.777578,64.426674,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,26,1.278585e-07,448.213593,0.336622,1.786407,0.013378,-1.801290e-09,-4.179807e-06,,,,0.777821,65.204494,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,27,1.073153e-07,450.5065,0.341565,0.5065,0.008435,7.707257e-11,-3.342702e-06,,,,0.770396,65.974891,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,28,9.523495e-08,452.389191,0.34641,2.389191,0.00359,1.894133e-09,-2.496503e-06,,,,0.768921,66.743812,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,29,8.988182e-08,453.57666,0.351038,3.57666,0.001038,3.004423e-09,-1.601094e-06,,,,0.774506,67.518317,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,30,8.834057e-08,453.984558,0.355339,3.984558,0.005339,3.274348e-09,-7.137245e-07,,,,0.769368,68.287685,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,31,8.854106e-08,453.756561,0.359204,3.756561,0.009204,2.578556e-09,2.659702e-07,,,,0.782447,69.070132,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,32,9.095821e-08,453.179169,0.362541,3.179169,0.012541,1.298353e-09,1.248529e-06,,,,0.77015,69.840281,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,33,9.643291e-08,452.636688,0.365257,2.636688,0.015257,-2.619096e-10,2.254606e-06,,,,0.767956,70.608237,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,34,1.041000e-07,452.499176,0.367308,2.499176,0.017308,-1.655732e-09,3.006000e-06,,,,0.768521,71.376758,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,35,1.110817e-07,452.933899,0.36868,2.933899,0.01868,-2.379252e-09,3.551164e-06,,,,0.76623,72.142988,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,36,1.150214e-07,453.867004,0.369414,3.867004,0.019414,-2.300219e-09,3.724098e-06,,,,0.777835,72.920823,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,37,1.158723e-07,455.074829,0.369603,5.074829,0.019603,-1.615970e-09,3.472741e-06,,,,0.774403,73.695226,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,38,1.152375e-07,456.187225,0.369314,6.187225,0.019314,-3.105782e-10,3.228115e-06,,,,0.780396,74.475622,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,39,1.147544e-07,456.872345,0.368629,6.872345,0.018629,9.512533e-10,2.833013e-06,,,,0.773865,75.249487,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,40,1.139502e-07,456.923065,0.367625,6.923065,0.017625,1.911346e-09,2.417003e-06,,,,0.777854,76.027341,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,41,1.117681e-07,456.330292,0.366354,6.330292,0.016354,2.284544e-09,2.227161e-06,,,,0.823296,76.850637,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,42,1.076814e-07,455.257721,0.364865,5.257721,0.014865,2.012168e-09,2.130469e-06,,,,0.811272,77.661909,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,43,1.027554e-07,453.934723,0.363189,3.934723,0.013189,1.354497e-09,2.175937e-06,,,,0.802858,78.464766,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,44,9.799174e-08,452.633881,0.361371,2.633881,0.011371,3.715748e-10,2.166664e-06,,,,0.793727,79.258493,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
