# ================================================================================
# Inverse Physics Learning from Camera Projections - Experiment Results
# Target: E*=400, nu=0.4, Neo-Hookean block-drop, MPM 8192 particles, 64 steps
# ================================================================================

## SECTION 1: Per-Epoch Training Data
task,method,epoch,loss,E_pred,E_abs_error,dL_dE_est,epoch_time_s,E_true,nu_true,N_particles,N_steps
Camera_2D,FD,22,1.812819e-06,420.133301,20.133301,5.954712e-08,0.495,400.0,0.400,8192,64
Camera_2D,FD,23,1.762354e-06,419.825256,19.825256,5.046525e-08,0.492,400.0,0.400,8192,64
Camera_2D,FD,24,1.712512e-06,419.506348,19.506348,4.984224e-08,0.478,400.0,0.400,8192,64
Camera_2D,FD,25,1.661594e-06,419.176575,19.176575,5.091840e-08,0.485,400.0,0.400,8192,64
Camera_2D,FD,26,1.610192e-06,418.836334,18.836334,5.140168e-08,0.474,400.0,0.400,8192,64
Camera_2D,FD,27,1.560641e-06,418.484955,18.484955,4.955098e-08,0.483,400.0,0.400,8192,64
Camera_2D,FD,28,1.506710e-06,418.122131,18.122131,5.393076e-08,0.482,400.0,0.400,8192,64
Camera_2D,FD,29,1.452336e-06,417.747284,17.747284,5.437448e-08,0.489,400.0,0.400,8192,64
Camera_2D,FD,30,1.390784e-06,417.359924,17.359924,6.155153e-08,0.477,400.0,0.400,8192,64
Camera_2D,FD,31,1.332384e-06,416.960480,16.960480,5.839968e-08,0.481,400.0,0.400,8192,64
Camera_2D,FD,32,1.269850e-06,416.549408,16.549408,6.253424e-08,0.483,400.0,0.400,8192,64
Camera_2D,FD,33,1.216136e-06,416.126068,16.126068,5.371396e-08,0.490,400.0,0.400,8192,64
Camera_2D,FD,34,1.160692e-06,415.690948,15.690948,5.544382e-08,0.482,400.0,0.400,8192,64
Camera_2D,FD,35,1.099094e-06,415.244232,15.244232,6.159792e-08,0.478,400.0,0.400,8192,64
Camera_2D,FD,36,1.036234e-06,414.785706,14.785706,6.286041e-08,0.484,400.0,0.400,8192,64
Camera_2D,FD,37,9.741339e-07,414.315643,14.315643,6.210018e-08,0.473,400.0,0.400,8192,64
Camera_2D,FD,38,9.189027e-07,413.833679,13.833679,5.523117e-08,0.486,400.0,0.400,8192,64
Camera_2D,FD,39,8.597969e-07,413.340698,13.340698,5.910579e-08,0.493,400.0,0.400,8192,64
Camera_2D,FD,40,7.936467e-07,412.837006,12.837006,6.615022e-08,0.486,400.0,0.400,8192,64
Camera_2D,FD,41,7.397606e-07,412.323669,12.323669,5.388608e-08,0.481,400.0,0.400,8192,64
Camera_2D,FD,42,6.831406e-07,411.802063,11.802063,5.661997e-08,0.483,400.0,0.400,8192,64
Camera_2D,FD,43,6.327267e-07,411.272339,11.272339,5.041397e-08,0.457,400.0,0.400,8192,64
Camera_2D,FD,44,5.765122e-07,410.734314,10.734314,5.621450e-08,0.452,400.0,0.400,8192,64
Camera_2D,FD,45,5.246752e-07,410.188141,10.188141,5.183693e-08,0.452,400.0,0.400,8192,64
Camera_2D,FD,46,4.686321e-07,409.634216,9.634216,5.604315e-08,0.459,400.0,0.400,8192,64
Camera_2D,FD,47,4.216890e-07,409.074402,9.074402,4.694303e-08,0.449,400.0,0.400,8192,64
Camera_2D,FD,48,3.741750e-07,408.511658,8.511658,4.751399e-08,0.463,400.0,0.400,8192,64
Camera_2D,FD,49,3.307212e-07,407.947052,7.947052,4.345389e-08,0.449,400.0,0.400,8192,64
Camera_2D,FD,50,2.912652e-07,407.380524,7.380524,3.945595e-08,0.454,400.0,0.400,8192,64
Camera_2D,FD,51,2.513492e-07,406.813782,6.813782,3.991599e-08,0.458,400.0,0.400,8192,64
Camera_2D,FD,52,2.139204e-07,406.248566,6.248566,3.742880e-08,0.458,400.0,0.400,8192,64
Camera_2D,FD,53,1.795763e-07,405.686554,5.686554,3.434408e-08,0.452,400.0,0.400,8192,64
Camera_2D,FD,54,1.486275e-07,405.129395,5.129395,3.094883e-08,0.461,400.0,0.400,8192,64
Camera_2D,FD,55,1.231397e-07,404.579803,4.579803,2.548778e-08,0.462,400.0,0.400,8192,64
Camera_2D,FD,56,9.692842e-08,404.039459,4.039459,2.621129e-08,0.477,400.0,0.400,8192,64
Camera_2D,FD,57,7.638310e-08,403.510101,3.510101,2.054532e-08,0.463,400.0,0.400,8192,64
Camera_2D,FD,58,5.787853e-08,402.994904,2.994904,1.850458e-08,0.450,400.0,0.400,8192,64
Camera_2D,FD,59,4.211554e-08,402.495850,2.495850,1.576299e-08,0.461,400.0,0.400,8192,64
Camera_2D,FD,60,2.975608e-08,402.015808,2.015808,1.235946e-08,0.452,400.0,0.400,8192,64
Camera_2D,FD,61,2.005300e-08,401.556824,1.556824,9.703077e-09,0.466,400.0,0.400,8192,64
Camera_2D,FD,62,1.215709e-08,401.120972,1.120972,7.895912e-09,0.452,400.0,0.400,8192,64
Camera_2D,FD,63,6.204449e-09,400.710327,0.710327,5.952637e-09,0.464,400.0,0.400,8192,64
Camera_2D,FD,64,2.855285e-09,400.326935,0.326935,3.349165e-09,0.463,400.0,0.400,8192,64
Camera_2D,FD,65,7.449829e-10,399.972809,0.027191,2.110302e-09,0.457,400.0,0.400,8192,64
Camera_2D,FD,66,2.155401e-10,399.649200,0.350800,5.294428e-10,0.463,400.0,0.400,8192,64
Camera_2D,FD,67,8.076032e-10,399.357727,0.642273,5.920631e-10,0.456,400.0,0.400,8192,64
Camera_2D,FD,68,2.124102e-09,399.099213,0.900787,1.316499e-09,0.462,400.0,0.400,8192,64
Camera_2D,FD,69,4.062588e-09,398.874817,1.125183,1.938486e-09,0.451,400.0,0.400,8192,64
Camera_2D,FD,70,5.912382e-09,398.684570,1.315430,1.849793e-09,0.459,400.0,0.400,8192,64
Camera_2D,FD,71,8.591750e-09,398.528259,1.471741,2.679369e-09,0.453,400.0,0.400,8192,64
Camera_2D,FD,72,1.056238e-08,398.405121,1.594879,1.970633e-09,0.459,400.0,0.400,8192,64
Camera_2D,FD,73,1.264522e-08,398.313965,1.686035,2.082833e-09,0.462,400.0,0.400,8192,64
Camera_2D,FD,74,1.389621e-08,398.253540,1.746460,1.250996e-09,0.454,400.0,0.400,8192,64
Camera_2D,FD,75,1.550572e-08,398.221497,1.778503,1.609512e-09,0.462,400.0,0.400,8192,64
Camera_2D,FD,76,1.620882e-08,398.215790,1.784210,7.030909e-10,0.457,400.0,0.400,8192,64
Camera_2D,FD,77,1.630986e-08,398.234100,1.765900,1.010445e-10,0.494,400.0,0.400,8192,64
Camera_2D,FD,78,1.607920e-08,398.273865,1.726135,2.306635e-10,0.451,400.0,0.400,8192,64
Camera_2D,FD,79,1.503187e-08,398.332764,1.667236,1.047324e-09,0.453,400.0,0.400,8192,64
Camera_2D,FD,80,1.349727e-08,398.408142,1.591858,1.534601e-09,0.457,400.0,0.400,8192,64
Camera_2D,FD,81,1.233615e-08,398.497528,1.502472,1.161124e-09,0.459,400.0,0.400,8192,64
Camera_2D,FD,82,1.128618e-08,398.598236,1.401764,1.049971e-09,0.460,400.0,0.400,8192,64
Camera_2D,FD,83,9.582378e-09,398.707764,1.292236,1.703799e-09,0.470,400.0,0.400,8192,64
Camera_2D,FD,84,8.378121e-09,398.823914,1.176086,1.204257e-09,0.455,400.0,0.400,8192,64
Camera_2D,FD,85,6.403575e-09,398.944550,1.055450,1.974546e-09,0.460,400.0,0.400,8192,64
Camera_2D,FD,86,5.301618e-09,399.067688,0.932312,1.101957e-09,0.460,400.0,0.400,8192,64
Camera_2D,FD,87,4.152369e-09,399.191284,0.808716,1.149249e-09,0.455,400.0,0.400,8192,64
Camera_2D,FD,88,3.312177e-09,399.313843,0.686157,8.401919e-10,0.456,400.0,0.400,8192,64
Camera_2D,FD,89,2.496118e-09,399.433624,0.566376,8.160592e-10,0.454,400.0,0.400,8192,64
Camera_2D,FD,90,1.707440e-09,399.549011,0.450989,7.886771e-10,0.458,400.0,0.400,8192,64
Camera_2D,FD,91,1.217913e-09,399.658844,0.341156,4.895270e-10,0.454,400.0,0.400,8192,64
Camera_2D,FD,92,8.606367e-10,399.762238,0.237762,3.572768e-10,0.457,400.0,0.400,8192,64
Camera_2D,FD,93,5.433874e-10,399.858093,0.141907,3.172493e-10,0.453,400.0,0.400,8192,64
Camera_2D,FD,94,2.912316e-10,399.946014,0.053986,2.521558e-10,0.461,400.0,0.400,8192,64
Camera_2D,FD,95,2.031755e-10,400.025818,0.025818,8.805609e-11,0.458,400.0,0.400,8192,64
Camera_2D,FD,96,2.225431e-10,400.097137,0.097137,1.936759e-11,0.454,400.0,0.400,8192,64
Camera_2D,FD,97,2.635318e-10,400.160156,0.160156,4.098871e-11,0.464,400.0,0.400,8192,64
Camera_2D,FD,98,3.847998e-10,400.214722,0.214722,1.212680e-10,0.485,400.0,0.400,8192,64
Camera_2D,FD,99,4.801281e-10,400.261047,0.261047,9.532833e-11,0.457,400.0,0.400,8192,64
Camera_2D,FD,100,5.913852e-10,400.299316,0.299316,1.112571e-10,0.454,400.0,0.400,8192,64
Camera_2D,FD,101,7.751675e-10,400.329803,0.329803,1.837823e-10,0.452,400.0,0.400,8192,64
Camera_2D,FD,102,7.921769e-10,400.352997,0.352997,1.700939e-11,0.447,400.0,0.400,8192,64
Camera_2D,FD,103,9.782340e-10,400.369202,0.369202,1.860572e-10,0.451,400.0,0.400,8192,64
Camera_2D,FD,104,1.000232e-09,400.378754,0.378754,2.199763e-11,0.453,400.0,0.400,8192,64
Camera_2D,FD,105,1.053174e-09,400.382233,0.382233,5.294232e-11,0.459,400.0,0.400,8192,64
Camera_2D,FD,106,1.018108e-09,400.380280,0.380280,3.506595e-11,0.448,400.0,0.400,8192,64
Camera_2D,FD,107,1.010402e-09,400.373291,0.373291,7.706058e-12,0.451,400.0,0.400,8192,64
Camera_2D,FD,108,9.975004e-10,400.361877,0.361877,1.290157e-11,0.460,400.0,0.400,8192,64
Camera_2D,FD,109,9.626544e-10,400.346741,0.346741,3.484601e-11,0.452,400.0,0.400,8192,64
Camera_2D,FD,110,9.384653e-10,400.328430,0.328430,2.418910e-11,0.460,400.0,0.400,8192,64
Camera_2D,FD,111,7.881585e-10,400.307281,0.307281,1.503068e-10,0.460,400.0,0.400,8192,64
Camera_2D,FD,112,6.468319e-10,400.283966,0.283966,1.413266e-10,0.456,400.0,0.400,8192,64
Camera_2D,FD,113,6.182243e-10,400.258911,0.258911,2.860756e-11,0.445,400.0,0.400,8192,64
Camera_2D,FD,114,5.711432e-10,400.232483,0.232483,4.708112e-11,0.461,400.0,0.400,8192,64
Camera_2D,FD,115,5.190096e-10,400.205200,0.205200,5.213363e-11,0.463,400.0,0.400,8192,64
Camera_2D,FD,116,4.520092e-10,400.177582,0.177582,6.700041e-11,0.458,400.0,0.400,8192,64
Camera_2D,FD,117,4.022189e-10,400.149994,0.149994,4.979023e-11,0.459,400.0,0.400,8192,64
Camera_2D,FD,118,3.539551e-10,400.122772,0.122772,4.826378e-11,0.453,400.0,0.400,8192,64
Camera_2D,FD,119,3.051512e-10,400.096039,0.096039,4.880393e-11,0.474,400.0,0.400,8192,64
Camera_2D,FD,120,2.555177e-10,400.070160,0.070160,4.963346e-11,0.453,400.0,0.400,8192,64
Camera_2D,FD,121,2.409037e-10,400.045471,0.045471,1.461400e-11,0.465,400.0,0.400,8192,64
Camera_2D,FD,122,2.283693e-10,400.022156,0.022156,1.253447e-11,0.463,400.0,0.400,8192,64
Camera_2D,FD,123,2.063701e-10,400.000427,0.000427,2.199914e-11,0.454,400.0,0.400,8192,64
Camera_2D,FD,124,1.998464e-10,399.980408,0.019592,6.523684e-12,0.453,400.0,0.400,8192,64
Camera_2D,FD,125,1.831275e-10,399.962341,0.037659,1.671895e-11,0.452,400.0,0.400,8192,64
Camera_2D,FD,126,1.823034e-10,399.946411,0.053589,8.241324e-13,0.456,400.0,0.400,8192,64
Camera_2D,FD,127,2.086829e-10,399.932373,0.067627,2.637950e-11,0.454,400.0,0.400,8192,64
Camera_2D,FD,128,1.998930e-10,399.920349,0.079651,8.789844e-12,0.458,400.0,0.400,8192,64
Camera_2D,FD,129,2.516101e-10,399.910431,0.089569,5.171705e-11,0.453,400.0,0.400,8192,64
Camera_2D,FD,130,2.268640e-10,399.902496,0.097504,2.474608e-11,0.462,400.0,0.400,8192,64
Camera_2D,FD,131,2.381953e-10,399.896515,0.103485,1.133134e-11,0.455,400.0,0.400,8192,64
Camera_2D,FD,132,2.515216e-10,399.892303,0.107697,1.332628e-11,0.462,400.0,0.400,8192,64
Camera_2D,FD,133,2.335411e-10,399.889740,0.110260,1.798048e-11,0.455,400.0,0.400,8192,64
Camera_2D,FD,134,2.479959e-10,399.888672,0.111328,1.445474e-11,0.455,400.0,0.400,8192,64
Camera_2D,FD,135,2.483306e-10,399.888855,0.111145,3.347600e-13,0.456,400.0,0.400,8192,64
Camera_2D,FD,136,2.390508e-10,399.890350,0.109650,9.279799e-12,0.451,400.0,0.400,8192,64
Camera_2D,FD,137,2.064062e-10,399.893066,0.106934,3.264464e-11,0.454,400.0,0.400,8192,64
Camera_2D,FD,138,2.260089e-10,399.896881,0.103119,1.960265e-11,0.448,400.0,0.400,8192,64
Camera_2D,FD,139,2.016415e-10,399.901550,0.098450,2.436740e-11,0.454,400.0,0.400,8192,64
Camera_2D,FD,140,2.161288e-10,399.906738,0.093262,1.448738e-11,0.480,400.0,0.400,8192,64
Camera_2D,FD,141,2.165119e-10,399.912415,0.087585,3.831102e-13,0.457,400.0,0.400,8192,64
Camera_2D,FD,142,2.324514e-10,399.918427,0.081573,1.593942e-11,0.453,400.0,0.400,8192,64
Camera_2D,FD,143,2.073624e-10,399.924652,0.075348,2.508896e-11,0.461,400.0,0.400,8192,64
Camera_2D,FD,144,2.329629e-10,399.931030,0.068970,2.560047e-11,0.484,400.0,0.400,8192,64
Camera_2D,FD,145,2.159347e-10,399.937531,0.062469,1.702814e-11,0.455,400.0,0.400,8192,64
Camera_2D,FD,146,2.137448e-10,399.944000,0.056000,2.189887e-12,0.457,400.0,0.400,8192,64
Camera_2D,FD,147,2.127024e-10,399.950470,0.049530,1.042402e-12,0.456,400.0,0.400,8192,64
Camera_2D,FD,148,1.889427e-10,399.956757,0.043243,2.375970e-11,0.456,400.0,0.400,8192,64
Camera_2D,FD,149,2.240644e-10,399.962799,0.037201,3.512166e-11,0.459,400.0,0.400,8192,64
Camera_2D,FD,150,2.044641e-10,399.968628,0.031372,1.960029e-11,0.459,400.0,0.400,8192,64
Camera_2D,FD,151,2.454127e-10,399.974121,0.025879,4.094859e-11,0.456,400.0,0.400,8192,64
Camera_2D,FD,152,2.371179e-10,399.979156,0.020844,8.294754e-12,0.462,400.0,0.400,8192,64
Camera_2D,FD,153,2.257838e-10,399.983704,0.016296,1.133417e-11,0.456,400.0,0.400,8192,64
Camera_2D,FD,154,2.138736e-10,399.987732,0.012268,1.191015e-11,0.460,400.0,0.400,8192,64
Camera_2D,FD,155,2.006796e-10,399.991272,0.008728,1.319406e-11,0.459,400.0,0.400,8192,64
Camera_2D,FD,156,2.071829e-10,399.994354,0.005646,6.503381e-12,0.458,400.0,0.400,8192,64
Camera_2D,FD,157,2.273167e-10,399.996948,0.003052,2.013377e-11,0.460,400.0,0.400,8192,64
Camera_2D,FD,158,2.350883e-10,399.999115,0.000885,7.771631e-12,0.461,400.0,0.400,8192,64
Camera_2D,FD,159,2.167949e-10,400.000671,0.000671,1.829344e-11,0.457,400.0,0.400,8192,64
Camera_2D,FD,160,2.046538e-10,400.001770,0.001770,1.214114e-11,0.483,400.0,0.400,8192,64
Camera_2D,FD,161,2.017402e-10,400.002258,0.002258,2.913544e-12,0.465,400.0,0.400,8192,64
Camera_2D,FD,162,2.257038e-10,400.002167,0.002167,2.396362e-11,0.460,400.0,0.400,8192,64
Camera_2D,FD,163,2.124318e-10,400.001556,0.001556,1.327209e-11,0.461,400.0,0.400,8192,64
Camera_2D,FD,164,2.193863e-10,400.000610,0.000610,6.954534e-12,0.454,400.0,0.400,8192,64
Camera_2D,FD,165,2.099000e-10,399.999390,0.000610,9.486273e-12,0.471,400.0,0.400,8192,64
Camera_2D,FD,166,2.051463e-10,399.998108,0.001892,4.753670e-12,0.457,400.0,0.400,8192,64
Camera_2D,FD,167,2.008856e-10,399.996643,0.003357,4.260717e-12,0.463,400.0,0.400,8192,64
Camera_2D,FD,168,1.733180e-10,399.995239,0.004761,2.756767e-11,0.458,400.0,0.400,8192,64
Camera_2D,FD,169,2.026202e-10,399.993866,0.006134,2.930223e-11,0.463,400.0,0.400,8192,64
Camera_2D,FD,170,1.851887e-10,399.992523,0.007477,1.743147e-11,0.472,400.0,0.400,8192,64
Camera_2D,FD,171,2.111980e-10,399.991089,0.008911,2.600932e-11,0.464,400.0,0.400,8192,64
Camera_2D,FD,172,1.956767e-10,399.989655,0.010345,1.552135e-11,0.459,400.0,0.400,8192,64
Camera_2D,FD,173,2.097838e-10,399.988251,0.011749,1.410716e-11,0.462,400.0,0.400,8192,64
Camera_2D,FD,174,2.204146e-10,399.986877,0.013123,1.063077e-11,0.464,400.0,0.400,8192,64
Camera_2D,FD,175,2.054869e-10,399.985565,0.014435,1.492774e-11,0.462,400.0,0.400,8192,64
Camera_2D,FD,176,2.180556e-10,399.984253,0.015747,1.256871e-11,0.468,400.0,0.400,8192,64
Camera_2D,FD,177,2.130639e-10,399.983032,0.016968,4.991729e-12,0.461,400.0,0.400,8192,64
Camera_2D,FD,178,2.148400e-10,399.981842,0.018158,1.776176e-12,0.468,400.0,0.400,8192,64
Camera_2D,FD,179,2.198549e-10,399.980957,0.019043,5.014822e-12,0.460,400.0,0.400,8192,64
Camera_2D,FD,180,2.197421e-10,399.980164,0.019836,1.127987e-13,0.472,400.0,0.400,8192,64
Camera_2D,FD,181,1.981559e-10,399.979492,0.020508,2.158621e-11,0.480,400.0,0.400,8192,64
Camera_2D,FD,182,1.915706e-10,399.978912,0.021088,6.585232e-12,0.472,400.0,0.400,8192,64
Camera_2D,FD,183,2.057515e-10,399.978394,0.021606,1.418092e-11,0.458,400.0,0.400,8192,64
Camera_2D,FD,184,2.062027e-10,399.977905,0.022095,4.511530e-13,0.457,400.0,0.400,8192,64
Camera_2D,FD,185,2.127448e-10,399.977234,0.022766,6.542114e-12,0.465,400.0,0.400,8192,64
Camera_2D,FD,186,1.855041e-10,399.976807,0.023193,2.724074e-11,0.457,400.0,0.400,8192,64
Camera_2D,FD,187,2.029558e-10,399.976501,0.023499,1.745178e-11,0.459,400.0,0.400,8192,64
Camera_2D,FD,188,1.985382e-10,399.976410,0.023590,4.417619e-12,0.457,400.0,0.400,8192,64
Camera_2D,FD,189,2.131722e-10,399.976532,0.023468,1.463400e-11,0.458,400.0,0.400,8192,64
Camera_2D,FD,190,1.947335e-10,399.976868,0.023132,1.843876e-11,0.457,400.0,0.400,8192,64
Camera_2D,FD,191,2.249224e-10,399.977448,0.022552,3.018895e-11,0.462,400.0,0.400,8192,64
Camera_2D,FD,192,2.302274e-10,399.978088,0.021912,5.304993e-12,0.465,400.0,0.400,8192,64
Camera_2D,FD,193,2.543017e-10,399.978821,0.021179,2.407428e-11,0.456,400.0,0.400,8192,64
Camera_2D,FD,194,1.997356e-10,399.979492,0.020508,5.456610e-11,0.462,400.0,0.400,8192,64
Camera_2D,FD,195,2.308495e-10,399.980164,0.019836,3.111388e-11,0.466,400.0,0.400,8192,64
Camera_2D,FD,196,2.170811e-10,399.980835,0.019165,1.376839e-11,0.458,400.0,0.400,8192,64
Camera_2D,FD,197,2.212199e-10,399.981323,0.018677,4.138787e-12,0.455,400.0,0.400,8192,64
Camera_2D,FD,198,2.329641e-10,399.981720,0.018280,1.174420e-11,0.454,400.0,0.400,8192,64
Camera_2D,FD,199,2.093614e-10,399.982056,0.017944,2.360269e-11,0.477,400.0,0.400,8192,64
Baseline_3D,AD,0,2.569003e-06,425.086365,25.086365,7.730705e-12,12.666,400.0,0.400,512,8
Baseline_3D,AD,1,2.568995e-06,425.212799,25.212799,7.730705e-12,0.126,400.0,0.400,512,8
Baseline_3D,AD,2,2.569066e-06,425.350403,25.350403,7.071321e-11,0.100,400.0,0.400,512,8
Baseline_3D,AD,3,2.568994e-06,425.499084,25.499084,7.139533e-11,0.107,400.0,0.400,512,8
Baseline_3D,AD,4,2.568981e-06,425.658905,25.658905,1.364242e-11,0.092,400.0,0.400,512,8
Baseline_3D,AD,5,2.568942e-06,425.829834,25.829834,3.888090e-11,0.090,400.0,0.400,512,8
Baseline_3D,AD,6,2.568987e-06,426.011902,26.011902,4.501999e-11,0.099,400.0,0.400,512,8
Baseline_3D,AD,7,2.568989e-06,426.205048,26.205048,2.501110e-12,0.102,400.0,0.400,512,8
Baseline_3D,AD,8,2.569024e-06,426.409332,26.409332,3.478817e-11,0.105,400.0,0.400,512,8
Baseline_3D,AD,9,2.568981e-06,426.624756,26.624756,4.251888e-11,0.102,400.0,0.400,512,8
Baseline_3D,AD,10,2.569053e-06,426.851288,26.851288,7.139533e-11,0.080,400.0,0.400,512,8
Baseline_3D,AD,11,2.569016e-06,427.088928,27.088928,3.706191e-11,0.077,400.0,0.400,512,8
Baseline_3D,AD,12,2.569069e-06,427.337677,27.337677,5.275069e-11,0.074,400.0,0.400,512,8
Baseline_3D,AD,13,2.569024e-06,427.597534,27.597534,4.411049e-11,0.077,400.0,0.400,512,8
Baseline_3D,AD,14,2.569144e-06,427.868530,27.868530,1.193712e-10,0.078,400.0,0.400,512,8
Baseline_3D,AD,15,2.568994e-06,428.150635,28.150635,1.493845e-10,0.076,400.0,0.400,512,8
Baseline_3D,AD,16,2.569120e-06,428.443848,28.443848,1.252829e-10,0.079,400.0,0.400,512,8
Baseline_3D,AD,17,2.569047e-06,428.748199,28.748199,7.230483e-11,0.080,400.0,0.400,512,8
Baseline_3D,AD,18,2.569010e-06,429.063629,29.063629,3.774403e-11,0.081,400.0,0.400,512,8
Baseline_3D,AD,19,2.569060e-06,429.390198,29.390198,5.024958e-11,0.076,400.0,0.400,512,8
Baseline_3D,AD,20,2.569046e-06,429.727844,29.727844,1.432454e-11,0.075,400.0,0.400,512,8
Baseline_3D,AD,21,2.569054e-06,430.076630,30.076630,8.412826e-12,0.079,400.0,0.400,512,8
Baseline_3D,AD,22,2.568928e-06,430.436493,30.436493,1.255103e-10,0.096,400.0,0.400,512,8
Baseline_3D,AD,23,2.569053e-06,430.807495,30.807495,1.246008e-10,0.080,400.0,0.400,512,8
Baseline_3D,AD,24,2.569090e-06,431.189575,31.189575,3.683454e-11,0.078,400.0,0.400,512,8
Baseline_3D,AD,25,2.569047e-06,431.582794,31.582794,4.320100e-11,0.076,400.0,0.400,512,8
Baseline_3D,AD,26,2.569053e-06,431.987061,31.987061,6.366463e-12,0.077,400.0,0.400,512,8
Baseline_3D,AD,27,2.569054e-06,432.402466,32.402466,4.547474e-13,0.077,400.0,0.400,512,8
Baseline_3D,AD,28,2.569062e-06,432.828949,32.828949,7.958079e-12,0.077,400.0,0.400,512,8
Baseline_3D,AD,29,2.569134e-06,433.266541,33.266541,7.275958e-11,0.078,400.0,0.400,512,8
Baseline_3D,AD,30,2.569070e-06,433.715210,33.715210,6.434675e-11,0.077,400.0,0.400,512,8
Baseline_3D,AD,31,2.569097e-06,434.174957,34.174957,2.660272e-11,0.076,400.0,0.400,512,8
Baseline_3D,AD,32,2.569082e-06,434.645813,34.645813,1.455192e-11,0.078,400.0,0.400,512,8
Baseline_3D,AD,33,2.568914e-06,435.127747,35.127747,1.682565e-10,0.078,400.0,0.400,512,8
Baseline_3D,AD,34,2.569053e-06,435.620728,35.620728,1.391527e-10,0.084,400.0,0.400,512,8
Baseline_3D,AD,35,2.568905e-06,436.124817,36.124817,1.475655e-10,0.084,400.0,0.400,512,8
Baseline_3D,AD,36,2.568986e-06,436.639954,36.639954,8.094503e-11,0.081,400.0,0.400,512,8
Baseline_3D,AD,37,2.568965e-06,437.166138,37.166138,2.091838e-11,0.078,400.0,0.400,512,8
Baseline_3D,AD,38,2.568986e-06,437.703400,37.703400,2.069100e-11,0.081,400.0,0.400,512,8
Baseline_3D,AD,39,2.568856e-06,438.251709,38.251709,1.305125e-10,0.078,400.0,0.400,512,8
Baseline_3D,AD,40,2.568989e-06,438.811066,38.811066,1.334683e-10,0.080,400.0,0.400,512,8
Baseline_3D,AD,41,2.568987e-06,439.381470,39.381470,1.818989e-12,0.081,400.0,0.400,512,8
Baseline_3D,AD,42,2.569016e-06,439.962921,39.962921,2.910383e-11,0.082,400.0,0.400,512,8
Baseline_3D,AD,43,2.568923e-06,440.555359,40.555359,9.322321e-11,0.078,400.0,0.400,512,8
Baseline_3D,AD,44,2.569018e-06,441.158844,41.158844,9.458745e-11,0.077,400.0,0.400,512,8
Baseline_3D,AD,45,2.568972e-06,441.773346,41.773346,4.570211e-11,0.078,400.0,0.400,512,8
Baseline_3D,AD,46,2.569002e-06,442.398865,42.398865,3.001333e-11,0.077,400.0,0.400,512,8
Baseline_3D,AD,47,2.568936e-06,443.035339,43.035339,6.616574e-11,0.081,400.0,0.400,512,8
Baseline_3D,AD,48,2.569016e-06,443.682831,43.682831,8.003553e-11,0.081,400.0,0.400,512,8
Baseline_3D,AD,49,2.568950e-06,444.341278,44.341278,6.616574e-11,0.079,400.0,0.400,512,8
Baseline_3D,AD,50,2.568890e-06,445.010712,45.010712,5.957190e-11,0.076,400.0,0.400,512,8
Baseline_3D,AD,51,2.568951e-06,445.691101,45.691101,6.116352e-11,0.079,400.0,0.400,512,8
Baseline_3D,AD,52,2.568979e-06,446.382446,46.382446,2.751221e-11,0.077,400.0,0.400,512,8
Baseline_3D,AD,53,2.569016e-06,447.084686,47.084686,3.683454e-11,0.078,400.0,0.400,512,8
Baseline_3D,AD,54,2.569058e-06,447.797882,47.797882,4.274625e-11,0.077,400.0,0.400,512,8
Baseline_3D,AD,55,2.568877e-06,448.521973,48.521973,1.816716e-10,0.079,400.0,0.400,512,8
Baseline_3D,AD,56,2.568943e-06,449.256989,49.256989,6.662049e-11,0.081,400.0,0.400,512,8
Baseline_3D,AD,57,2.568978e-06,450.002869,50.002869,3.456080e-11,0.078,400.0,0.400,512,8
Baseline_3D,AD,58,2.568992e-06,450.759583,50.759583,1.432454e-11,0.077,400.0,0.400,512,8
Baseline_3D,AD,59,2.568981e-06,451.527191,51.527191,1.159606e-11,0.080,400.0,0.400,512,8
Baseline_3D,AD,60,2.568973e-06,452.305634,52.305634,7.730705e-12,0.085,400.0,0.400,512,8
Baseline_3D,AD,61,2.568959e-06,453.094879,53.094879,1.364242e-11,0.078,400.0,0.400,512,8
Baseline_3D,AD,62,2.568935e-06,453.894928,53.894928,2.387424e-11,0.094,400.0,0.400,512,8
Baseline_3D,AD,63,2.569039e-06,454.705780,54.705780,1.032276e-10,0.082,400.0,0.400,512,8
Baseline_3D,AD,64,2.568951e-06,455.527374,55.527374,8.776624e-11,0.083,400.0,0.400,512,8
Baseline_3D,AD,65,2.568988e-06,456.359741,56.359741,3.683454e-11,0.079,400.0,0.400,512,8
Baseline_3D,AD,66,2.569073e-06,457.202820,57.202820,8.571988e-11,0.080,400.0,0.400,512,8
Baseline_3D,AD,67,2.568981e-06,458.056580,58.056580,9.231371e-11,0.080,400.0,0.400,512,8
Baseline_3D,AD,68,2.568928e-06,458.921051,58.921051,5.297807e-11,0.080,400.0,0.400,512,8
Baseline_3D,AD,69,2.568934e-06,459.796173,59.796173,6.139089e-12,0.080,400.0,0.400,512,8
Baseline_3D,AD,70,2.568934e-06,460.681946,60.681946,2.273737e-13,0.081,400.0,0.400,512,8
Baseline_3D,AD,71,2.568870e-06,461.578308,61.578308,6.457412e-11,0.078,400.0,0.400,512,8
Baseline_3D,AD,72,2.568921e-06,462.485260,62.485260,5.093170e-11,0.081,400.0,0.400,512,8
